song,artist,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Devolva-Me (Ao Vivo),Adriana Calcanhotto,spotify:track:5sz2LrG6jY6u7U0g2k7kws,0.453,0.284,-10.907,0.0292,0.554,0.0,0.605,0.183,98.974,131427
Pot-Pourri: Sereia / Rainha do Mar,"Dori Caymmi, Nana Caymmi, Danilo Caymmi",spotify:track:6b4ZEmY1fWYXdaZCfKmFZv,0.574,0.474,-8.386,0.0356,0.861,0.0206,0.0947,0.248,96.311,277333
Jabuticaba Madura,Ceumar,spotify:track:76ZBWDyujB2FC9woIwYaaw,0.573,0.259,-12.754,0.248,0.919,0.0,0.695,0.585,76.704,182373
Voce E Linda,Caetano Veloso,spotify:track:23ztZ0wgb5cNLZsziJWoRB,0.57,0.176,-19.114,0.0313,0.771,6.03e-06,0.203,0.394,95.821,299333
André de Sapato Novo/Tico-Tico No Fubá,Ordinarius,spotify:track:6Lu9thLLQKkOJhWqsa6l1O,0.618,0.354,-12.522,0.0676,0.815,4.28e-05,0.0962,0.89,93.454,213760
Morena Do Mar,"Piers Faccini, Dom La Nena",spotify:track:2H8LU6TOHyDXW3qiZcMOJD,0.46,0.179,-15.16,0.0413,0.903,0.000292,0.115,0.343,125.36,170198
Samba do Cafe,"Miyuki Hatakeyama, Ryuhei Koike",spotify:track:0ek4BO0lbN05wEna2xIKko,0.642,0.402,-6.324,0.0355,0.687,0.0,0.106,0.616,110.07,221280
Un Só Lugar,Roberta Sá,spotify:track:0PiIJ2zXrrbjaPV0TQwYkl,0.681,0.333,-13.52,0.0269,0.762,0.000372,0.112,0.325,84.0,184787
Pecado É Lhe Deixar de Molho,Silva,spotify:track:0yAEZIKkemOG9cb1CUo3dU,0.54,0.0881,-17.657,0.0991,0.931,0.00226,0.0968,0.352,185.725,219187
Paranauê - Bonus Track,Capoeira Experience,spotify:track:26qUQwpITcSERRQHKoAOVC,0.764,0.786,-7.435,0.045,0.0234,1.8e-05,0.0651,0.658,113.966,190511
